City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Xinzhi,CN,36.4989,111.7047,36.95,72,34,2.37,scattered clouds
274,Plettenberg Bay,ZA,-34.0527,23.3716,73.45,67,2,15.17,clear sky
275,Birao,CF,10.2849,22.7882,89.91,13,33,11.05,scattered clouds
276,Olafsvik,IS,64.8945,-23.7142,40.24,77,69,52.12,broken clouds
277,Komsomolskiy,UZ,40.4272,71.7189,47.12,66,100,0.0,haze
278,Yulara,AU,-25.2406,130.9889,96.64,12,1,14.97,clear sky
279,Marawi,PH,7.9986,124.2928,72.64,97,68,3.62,broken clouds
280,Quatre Cocos,MU,-20.2078,57.7625,86.11,69,50,10.13,scattered clouds
281,Karratha,AU,-20.7377,116.8463,84.96,73,4,19.53,clear sky
282,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,75,20,34.52,few clouds
283,Tucuman,AR,-26.8241,-65.2226,71.6,60,90,4.61,overcast clouds
284,Kuching,MY,1.55,110.3333,75.42,94,40,1.14,moderate rain
285,Acari,PE,-15.4311,-74.6158,71.51,87,98,3.96,overcast clouds
286,Robertson,US,36.5167,-86.8667,31.89,64,75,10.36,broken clouds
287,Alyangula,AU,-13.8483,136.4192,93.07,62,53,4.61,broken clouds
288,Lorengau,PG,-2.0226,147.2712,81.81,70,100,10.16,overcast clouds
289,Broome,US,42.2506,-75.833,31.01,72,90,11.99,overcast clouds
290,Youkounkoun,GN,12.5333,-13.1333,84.94,15,16,7.9,few clouds
291,Daman,IN,20.4167,72.85,76.8,66,10,9.98,clear sky
292,Lagoa,PT,39.05,-27.9833,58.46,61,100,17.11,overcast clouds
293,Dalbandin,PK,28.8947,64.4101,60.06,39,62,17.34,light rain
294,Groa,NO,62.65,8.7167,26.69,92,100,6.93,overcast clouds
295,Chalmette,US,29.9427,-89.9634,61.0,84,1,1.99,clear sky
296,Castro,BR,-24.7911,-50.0119,64.26,97,97,5.03,overcast clouds
297,Ipixuna,BR,-1.7625,-48.8043,75.15,96,49,2.71,scattered clouds
298,Gold Coast,AU,-28.0,153.4333,78.46,90,75,5.01,broken clouds
299,Knysna,ZA,-34.0363,23.0471,73.78,54,2,10.83,clear sky
300,Camacha,PT,33.0833,-16.3333,61.54,88,75,19.57,broken clouds
301,Abha,SA,18.2164,42.5053,60.62,72,75,11.5,broken clouds
302,Tamiahua,MX,21.2667,-97.45,69.1,92,77,2.19,broken clouds
303,Mata,PT,40.683,-7.4592,44.6,87,19,3.4,few clouds
304,Chiredzi,ZW,-21.05,31.6667,95.43,33,72,11.39,broken clouds
305,Tevriz,RU,57.509,72.4042,-6.45,98,21,3.22,few clouds
306,Hamilton,US,39.1834,-84.5333,20.41,69,1,1.01,clear sky
307,Ostrovnoy,RU,68.0531,39.5131,14.04,93,100,10.18,light snow
308,Kinkala,CG,-4.3614,14.7644,80.91,65,100,4.94,overcast clouds
309,Ola,RU,59.5833,151.2833,11.57,84,97,8.3,overcast clouds
310,Cedar City,US,37.6775,-113.0619,34.77,69,1,11.5,clear sky
311,Mabaruma,GY,8.2,-59.7833,67.32,98,10,1.16,clear sky
312,Kodiak,US,57.79,-152.4072,33.15,83,100,21.18,light snow
313,Ketchikan,US,55.3422,-131.6461,22.98,57,1,3.44,clear sky
314,Petropavlovka,RU,50.6114,105.3196,4.57,92,100,0.96,overcast clouds
315,Toamasina,MG,-18.1667,49.3833,84.2,79,40,6.91,light rain
316,Badak,PH,6.8472,124.7206,81.64,69,30,1.19,scattered clouds
